1 - 2                  EXTRA CORSA
2 - 4                  ALT E BOTTONIERA MANUTENZIONE
4 - 5                  INTER FOSSA
5 - 6                  ALT CABINA
6 - 7                  PARACADUTE
7 - 7A                 CONTATTO FOTOCELLULA
7A - 8                 PRELIMINARI
8 - 9                  PORTE CABINA(SIA IN BATTENTE CHE IN AUTOMATICO)
9 - 10                 BLOCCHI
MA - MB - GND          DEVIATORE MANUTENZIONE
CB - CV                CHIAVE CABINA
CB                     COMUNE CHIAMATE CABINA
CE                     COMUNE CHIAMATE ESTERNE
B0 - B ULTIMO          PULSANTI ISPEZIONE
CB -0, CB - 1...       CHIAMATE CABINA
CE -0, CE - 1...       CHIAMATE ESTERNE
GND - FCD              BISTABILE FINE CORSA DISCESA
GND - FCS              BISTABILE FINE CORSA SALITA
GND - ID               INDUTTORE CONTEGGIO DISCESA
GND - IS               INDUTTORE CONTEGGIO SALITA
GND - IP1, GND - IP2   INDUTTORI CABINA AL PIANO E ZONA SICUREZZA
GND - SVR              CONTATTO SOVRACCARICO
CL - P0, CL - P1...    SEGNALAZIONE POSIZIONE
CL - FS                SEGNALAZIONE FRECCIA SALITA
CL - FD                SEGNALAZIONE FRECCIA DISCESA
CL - SV                SEGNALAZIONE SOVRACCARICO
CL - GON               SEGANALZIONE GONG IN CABINA
CL - OCC               SEGANALAZIONE OCCUPATO
PE                     RITORNO PRESENTE
CL - PE                ALIMENTAZIONE FOTOCELLULE
CL - LEM               SPIA IN EMERGENZA 24V
